年,月,日,平均現地気圧,平均海面気圧,日降水量,最大1時間降水量,最大10分間降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,最大風向,最大瞬間風速,最大瞬間風向,日照時間,降雪,最深積雪,天気概況（昼）,天気概況（夜）
2022,08,21,994.6,1003.9,21.0,14.0,6.5,28.2,33.5,24.8,81,59,2.3,4.5,北,7.4,北北東,3.3,--,--,曇時々雨後晴,晴時々曇
2022,08,22,995.9,1005.2,0.5,0.5,0.5,29.4,34.2,26.3,77,55,2.2,4.6,北東,7.7,北東,6.1,--,--,曇時々晴後一時雨,曇一時雨
2022,08,23,996.5,1005.8,--,--,--,30.1,34.5,26.7,72,52,1.9,4.4,南南西,7.7,西南西,4.5,--,--,晴後曇,曇
2022,08,24,997.2,1006.5,0.0,0.0,0.0,28.8,33.0,27.2,69,57,2.5,5.0,北,7.8,北東,0.6,--,--,曇,曇一時晴
2022,08,25,995.9,1005.2,0.0,0.0,0.0,29.1,32.1,26.1,69,52,2.1,4.9,西南西,8.7,西南西,3.2,--,--,曇後時々晴,曇一時雨
2022,08,26,996.0,1005.2,0.0,0.0,0.0,29.0,32.7,26.4,63,40,2.2,4.0,南西,6.7,南西,7.9,--,--,曇後一時晴,晴後曇
2022,08,27,997.2,1006.5,0.0,0.0,0.0,28.6,31.3,26.8,63,53,2.2,5.3,北,8.5,北,3.5,--,--,曇後晴,曇一時晴
2022,08,28,1002.7,1012.1,0.0,0.0,0.0,26.4,30.6,22.8,57,43,3.6,5.7,北,9.8,北北東,4.7,--,--,曇後時々晴,晴
2022,08,29,1005.7,1015.1,--,--,--,27.3,34.3,21.6,61,41,2.6,4.0,北北東,7.0,東北東,9.1,--,--,晴後時々薄曇,晴後曇
2022,08,30,1002.8,1012.2,6.5,4.5,4.0,27.1,32.3,24.7,80,60,2.1,4.5,北東,7.7,北北東,3.1,--,--,曇一時雨,曇時々雨後晴、雷を伴う
2022,08,31,998.8,1008.1,0.0,0.0,0.0,29.7,34.5,25.2,75,53,1.9,5.4,西南西,10.0,南西,10.1,--,--,晴時々薄曇,晴後雨時々曇、雷を伴う
